,Reward
0,-251.0
1,27.0
2,-58.0
3,-255.0
4,8.0
5,-319.0
6,-485.0
7,37.0
8,-106.0
9,-101.0
10,-369.0
11,-264.0
12,-433.0
13,-207.0
14,27.0
15,-449.0
16,-252.0
17,-296.0
18,126.0
19,-207.0
20,-252.0
21,121.0
22,-98.0
23,-36.0
24,-107.0
25,-246.0
26,-105.0
27,-193.0
28,-184.0
29,-336.0
30,-609.0
31,-336.0
32,-225.0
33,-392.0
34,-382.0
35,-48.0
36,-24.0
37,-153.0
38,135.0
39,-33.0
40,78.0
41,-90.0
42,-211.0
43,-349.0
44,-462.0
45,-220.0
46,74.0
47,12.0
48,-189.0
49,-90.0
50,-120.0
51,147.0
52,32.0
53,-224.0
54,-355.0
55,-423.0
56,-129.0
57,-480.0
58,-409.0
59,-9.0
60,-7.0
61,-211.0
62,-144.0
63,-25.0
64,-293.0
65,-145.0
66,-227.0
67,-145.0
68,-42.0
69,-164.0
70,17.0
71,-216.0
72,-219.0
73,-198.0
74,-95.0
75,265.0
76,-17.0
77,-342.0
78,-80.0
79,-228.0
80,-15.0
81,-21.0
82,-287.0
83,-74.0
84,-124.0
85,16.0
86,-237.0
87,86.0
88,167.0
89,-267.0
90,-115.0
91,-202.0
92,-171.0
93,-313.0
94,-235.0
95,-252.0
96,-124.0
97,-55.0
98,-144.0
99,-170.0
100,-144.0
101,-223.0
102,-31.0
103,-351.0
104,-286.0
105,97.0
106,-13.0
107,230.0
108,-117.0
109,-145.0
110,-169.0
111,122.0
112,-76.0
113,-66.0
114,-115.0
115,-264.0
116,237.0
117,-180.0
118,300.0
119,-366.0
120,-116.0
121,-434.0
122,-160.0
123,-207.0
124,-156.0
125,72.0
126,-144.0
127,-112.0
128,-58.0
129,-433.0
130,-161.0
131,-40.0
132,-35.0
133,-119.0
134,-355.0
135,-148.0
136,104.0
137,178.0
138,-629.0
139,-157.0
140,-128.0
141,-83.0
142,-98.0
143,-166.0
144,-138.0
145,90.0
146,-157.0
147,-274.0
148,-113.0
149,10.0
150,91.0
151,-9.0
152,-40.0
153,-264.0
154,-73.0
155,-306.0
156,-42.0
157,-28.0
158,-319.0
159,-150.0
160,-47.0
161,-103.0
162,-259.0
163,74.0
164,-450.0
165,-38.0
166,-171.0
167,46.0
168,82.0
169,-70.0
170,-49.0
171,-355.0
172,-400.0
173,-70.0
174,304.0
175,-68.0
176,-98.0
177,-12.0
178,-196.0
179,66.0
180,-213.0
181,15.0
182,86.0
183,-6.0
184,-351.0
185,-102.0
186,-44.0
187,44.0
188,-119.0
189,189.0
190,128.0
191,-306.0
192,68.0
193,-124.0
194,18.0
195,-53.0
196,-36.0
197,-27.0
198,-125.0
199,217.0
200,199.0
201,-43.0
202,-98.0
203,164.0
204,-129.0
205,-233.0
206,193.0
207,-83.0
208,77.0
209,-205.0
210,149.0
211,-175.0
212,-143.0
213,-167.0
214,-89.0
215,126.0
216,234.0
217,14.0
218,18.0
219,-358.0
220,-285.0
221,6.0
222,-196.0
